pnum,condition,mode,p10,p30,p50,p70,p90
8,0,overall,0.467,0.54,0.6225,0.7415,0.9844999999999999
8,0,accurate,0.467,0.54,0.622,0.742,0.983
8,0,error,0.476,0.5262,0.644,0.7392,1.0408000000000006
8,1,overall,0.652,0.7184999999999999,0.8015000000000001,0.91,1.1555
8,1,accurate,0.652,0.719,0.801,0.91,1.149
8,1,error,0.6434,0.715,0.804,0.9213999999999999,1.3276000000000001
8,2,overall,0.502,0.616,0.764,0.961,1.399
8,2,accurate,0.5011,0.6133,0.763,0.963,1.3977000000000002
8,2,error,0.5056,0.6214,0.772,0.9491999999999997,1.4025999999999998
8,3,overall,0.68,0.792,0.936,1.134,1.523
8,3,accurate,0.6808000000000001,0.79,0.933,1.1277999999999997,1.5294
8,3,error,0.678,0.804,0.941,1.139,1.51
9,0,overall,0.489,0.596,0.715,0.8991999999999999,1.26
9,0,accurate,0.492,0.598,0.715,0.8991999999999999,1.26
9,0,error,0.4835,0.568,0.682,0.8975,1.2490999999999999
9,1,overall,0.642,0.744,0.87,1.046,1.3892
9,1,accurate,0.642,0.745,0.87,1.045,1.389
9,1,error,0.6445000000000001,0.7147,0.8585,1.0598,1.3871
9,2,overall,0.5117,0.662,0.8385,1.0766999999999995,1.5172999999999999
9,2,accurate,0.512,0.653,0.831,1.066,1.518
9,2,error,0.5116,0.6794,0.86,1.115,1.5103999999999997
9,3,overall,0.672,0.799,0.951,1.1865999999999999,1.5806000000000002
9,3,accurate,0.672,0.803,0.96,1.1959999999999997,1.575
9,3,error,0.6734,0.7981,0.9395,1.1718,1.5848000000000004
10,0,overall,0.439,0.515,0.601,0.723,1.007
10,0,accurate,0.439,0.513,0.601,0.7231999999999998,1.0088000000000001
10,0,error,0.47959999999999997,0.5378000000000001,0.6,0.7083999999999999,0.9492
10,1,overall,0.605,0.681,0.766,0.8917999999999999,1.1466
10,1,accurate,0.605,0.682,0.767,0.891,1.147
10,1,error,0.6038,0.674,0.736,0.8978,1.1348
10,2,overall,0.46440000000000003,0.5831999999999999,0.724,0.9213999999999999,1.3026000000000002
10,2,accurate,0.46859999999999996,0.592,0.729,0.9322000000000001,1.3124
10,2,error,0.458,0.5641999999999999,0.707,0.8887999999999999,1.2689
10,3,overall,0.6294,0.743,0.887,1.0838,1.4344000000000006
10,3,accurate,0.632,0.743,0.888,1.087,1.4413999999999998
10,3,error,0.6214,0.743,0.8795,1.075,1.4229
